image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00001,1804,"data/MA_Menyer/menus_by_year_swedish_only/1804/0778_alvin-record_541824_Meny, 1804/0001.jpg",0.6852501057529611,0.7721560618219369,0.7061865676632327,0.5774076877737135
00002,1804,"data/MA_Menyer/menus_by_year_swedish_only/1804/0778_alvin-record_541824_Meny, 1804/0002.jpg",0.8505269777024768,0.9277669040131112,0.8731518214401724,0.7506622076541459
00003,1804,"data/MA_Menyer/menus_by_year_swedish_only/1804/0778_alvin-record_541824_Meny, 1804/0003.jpg",0.6606072919784961,0.7437472909806416,0.6799813214089707,0.5580932635458763
00004,1852,"data/MA_Menyer/menus_by_year_swedish_only/1852/1224_alvin-record_542070_Meny, Djurgårdsbrunns Wärdshus, 1852/0001.jpg",0.9267599199443093,0.9660582497607032,0.9543033106363848,0.8599181994358396
00005,1852,"data/MA_Menyer/menus_by_year_swedish_only/1852/1224_alvin-record_542070_Meny, Djurgårdsbrunns Wärdshus, 1852/0002.jpg",0.9429092535451682,0.9797096345048437,0.970901788449755,0.8781163376809059
00006,1868,"data/MA_Menyer/menus_by_year_swedish_only/1868/7091_alvin-record_548122_Meny, Hotel Kung Carl, 1868/0001.jpg",0.5447999203539441,0.6263877947012139,0.5635829823827679,0.4444289839778504
00007,1868,"data/MA_Menyer/menus_by_year_swedish_only/1868/7091_alvin-record_548122_Meny, Hotel Kung Carl, 1868/0002.jpg",0.7447676530999724,0.8124652418185585,0.7676473393054405,0.6541903781759183
00008,1869,"data/MA_Menyer/menus_by_year_swedish_only/1869/7092_alvin-record_548235_Meny, Hotel Kung Carl, 1869/0001.jpg",0.6922113831970923,0.7758889259478031,0.7150004158519364,0.5857448077915377
00009,1869,"data/MA_Menyer/menus_by_year_swedish_only/1869/7092_alvin-record_548235_Meny, Hotel Kung Carl, 1869/0002.jpg",0.7089322539503491,0.7829016918379567,0.7308597013912099,0.6130353686218807
00010,1871,"data/MA_Menyer/menus_by_year_swedish_only/1871/0671_alvin-record_541635_Meny, Ulriksdal, 1871/0001.jpg",0.7500297270176186,0.8207977674765559,0.7712019572321681,0.6580894563441319
00011,1871,"data/MA_Menyer/menus_by_year_swedish_only/1871/0671_alvin-record_541635_Meny, Ulriksdal, 1871/0002.jpg",0.7946340235275228,0.879782533045733,0.8176564005298652,0.6864631370069705
00012,1872,"data/MA_Menyer/menus_by_year_swedish_only/1872/7095_alvin-record_548090_Meny, 1872/0001.jpg",0.6709526971292269,0.7496008783336485,0.695414755532438,0.5678424575215939
00013,1872,"data/MA_Menyer/menus_by_year_swedish_only/1872/7095_alvin-record_548090_Meny, 1872/0002.jpg",0.8003115358563554,0.8801842542128674,0.8261936294086325,0.6945567239475663
00014,1876,"data/MA_Menyer/menus_by_year_swedish_only/1876/7100_alvin-record_548097_Meny, Hotel zum Kronprinzen, 1876/0001.jpg",0.7295223197015047,0.7931813496426608,0.7540768785123083,0.6413087309495449
